List Price,Address,,,City,Tax ID,,,,,,,,,,Yr Built,,,,,,,,,SF Total,SF Up+Mn,SF Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O/Price,Close Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305332,8712 N DECATUR ST,,,Portland,R598333,,,,,,,,,,2007,,,,,,,,,934,934,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254900,290000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550000,7881 N FESSENDEN ST,,,Portland,R314622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550000,275000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829900,6965 N Stanford AVE,,,Portland,Not Found,,,,,,,,,,2022,,,,,,,,,2563,1878,Plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829900,757000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825000,5421 N PRINCETON ST,,,Portland,R248289,,,,,,,,,,2015,,,,,,,,,2767,2365,floorplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825000,845000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599900,2955 N ARGYLE ST,,,Portland,R710619,,,,,,,,,,2022,,,,,,,,,1875,1875,Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625000,592000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375000,8707 N CRAWFORD ST,,,Portland,R130139,,,,,,,,,,2001,,,,,,,,,1216,947,RMLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375000,375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489900,9751 N Hodge AVE,,,Portland,Not Found,,,,,,,,,,2022,,,,,,,,,1631,1631,Plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539900,489900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349900,9315 N SYRACUSE ST,,,Portland,R133482,,,,,,,,,,1906,,,,,,,,,1616,816,Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374900,345000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499900,6314 N DEPAUW ST,,,Portland,R215342,,,,,,,,,,1942,,,,,,,,,2006,1014,measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499900,532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,6934 N BURLINGTON AVE,,,Portland,R486732,,,,,,,,,,2001,,,,,,,,,1200,1200,TaxRecord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000,274500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239999,9333 N LOMBARD ST,,,Portland,R580738,,,,,,,,,,1963,,,,,,,,,717,717,hoa doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240000,245000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635000,5105 N HARVARD ST,,,Portland,R292033,,,,,,,,,,1954,,,,,,,,,2387,1349,Floor plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649000,635000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
