"ML#","Status","Area","List Price","Address","Unit #","Nhood/Bldg","City","Tax ID","Zip Code","County","Zoning","El School","Jr High","Sr High","Prop Type","List Type","Legal","Yr Built","Yr Built Desc","Style","# Bedrms","Garage #","Garage Desc","Parking","Roof","Lot Size","SF Total","SF Up+Mn","SF Source","Lot Desc","Lot Dimensions","# Acres","Exterior","Sellr Disc","Bsmt/Fnd","XSt/Dir","Private Remarks","Public Remarks","Public Internet Site Display","Offer/Nego","Vtour#1","Kitch","Inter","Exter","Accss","Heat","Fuel","Cool","Insul","Water","Sewer","H/Wtr","PTax/Yr","Terms","SpAsmtBal","HOA/Spc/Slp","HOA Per","Inclds","Escrow Pref","Bank Owned/REO","SAID","BRCD","Office","Office Phone","Phone Ext","Show","Agent","Agent Phone","Tran","List Date","Exp Date","Fax","Poss","Owner","Owner Phone","Hours","Tenant/Other","Tenant Phone","Pend","DOM","Close Terms","O/Price","Close Price","Close Date","BAID","B/Agt","B/Office","CDOM","Auction Y/N","No Blog","No AVM","Short Sale","Amenities Y/N","Add. Structure Y/N","Condo Y/N","Farm Y/N","Water Rights Y/N","Elem School 2","High School 2","Green/Energy YN","Owner Name 2","Floating Home Y/N","Townhouse/Planned Comm Y/N","Non-Owner Occupant Y/N","Property Tax Year","Vtour#2","Jr High School 2","Vtour #3","ADU Y/N","Manufactured Y/N","Assumable Interest Rate","Assumable Remaining Months Ending"
24111258,ACT,141,369900,6905 N Bank ST,,ST JOHNS,Portland,New Construction,97203,Multnomah,R5,James John,George,Roosevelt,DETACHD,ER,TBD,2024,NEW,MODERN,2,0,", ,",,COMP,"0-2,999SF",889,889,Plans,LEVEL,,,FIBRCEM,EXEMPT,,"N Columbia Blvd, E on N Bank St","Text LA/CoLA then Show, no need to confirm. Please show staged unit (6905) + any other active unit. LB is at electrical meters behind wood screen at front of community.  Taxes + Legal TBD. *Sales price is subject to buyer SDC approval. Non-SDC Waiver eligible Buyer is a $30k increase from advertised listing price. SDC waiver eligibility is primarily based on the buyer's income being equal to or less than the MFI of $148,920 year per family of 1-4 people.* Buyer may receive thousands in savings for using sellers preferred lender when purchasing this listing. See attached PDF and contact LA for more info. Seller does not authorize 1 day codes to unattended contractors. See attached Inspection Promo flyer for special rates. Images are of staged home in community - exact layout + finishes may differ. For additional affordable housing inventory visit: https://darrylbodle.com/exclusive-listings/","No money down  - 100% financing options available! This is not a condo, no HOA! Discover the perfect blend of modern elegance and convenience in this stunning home, ideally located just 0.3 miles from all your favorite amenities, including coffee shops, grocery stores, parks, trendy boutiques, and delightful restaurants. Step inside and be captivated by the beautifully designed kitchen, featuring warm cabinetry, exquisite tilework, sleek black finishes, and gleaming stainless steel appliances. The kitchen seamlessly opens to the dining area and inviting living room, making it an entertainer's dream or a cozy space for relaxation. Enjoy effortless indoor-outdoor living with a slider leading to your private yard. Upstairs, you'll find a bright and airy primary suite, along with an additional spacious bedroom, both illuminated by lofty ceilings and expansive windows that invite natural light. Don't miss this opportunity to call this gem home! Enjoy the peace of mind that comes with new construction, complete with a 1-year builder warranty from a reputable local boutique builder. (List price is subject to the buyer qualifying for the Portland Housing Bureau - System Development Charge exemption program to promote affordable housing in Portland, call for more info.) Need a little help with your down payment? Our friends at Umpqua Bank have their Umpqua Neighbors and Legacy Builder down payment assistance programs to help make your dream home a reality!",Y,CALL-SA,https://youtu.be/bnCpamDU-v4?si=EXDKFfuNx_ORpwzu,"BI-MICO, DISHWAS, TILE, FS-RANG, SSAPPL, SOLIDCNTR","WW-CARP, HI-CEIL","FENCED, PATIO, YARD",NATLITE,MINISPT,ELECT,HT-PUMP,,PUBLICWTR,PUBLICSWR,ELECT,0,"CASH, CONV, FHA, VA",,,,,Fidelity - Kim White,N,BODLEDAR,KWPP01,Keller Williams Realty Portland Premiere,503-597-2444,,"RMLSLBX, VACANT, SEERMKS, TEXT-SA, TXT-COSA",Darryl Bodle,503-709-4632,8/8/2025 4:40:53 PM,2024-12-02,,503-597-5010,,In List Office,,,,,,,,,,,,,,,N,Y,Y,N,N,N,N,N,N,,,N,,N,N,N,,,,,N,N,,
24127609,ACT,141,575000,6006 N WILLAMETTE BLVD,,,Portland,R175779,97203,Multnomah,,Astor,George,Roosevelt,DETACHD,ER,"HARBOR VIEW ADD, BLOCK 1, LOT 5",1944,RESALE,CAPECOD,4,1,"DETACHD, ,",,COMP,"5K-6,999SF",2165,1325,LA,LEVEL,,0.14,VINYLSID,DSCLOSUR,,"Exit 302 C, N Greeley Ave to N  Willamette Blvd",Easy to Show! Call Listing Agent for questions.,"Discover this delightful mid-century Cape Cod located in one of the most sought-after neighborhoods in N Portland. Enjoy stunning views of the river and West Hills from this home. Cozy living room with a fireplace and nice hardwood floors. Spacious basement with potential to add two more bedrooms. Room for an ADU (Accessory Dwelling Unit) off Willamette Lane, perfect for extra income or guest space. This home offers character, charm, and future potential, all in a prime location. Don’t miss the opportunity to make it yours!",Y,CALL-SA,,"BI-RANG, FS-REFR","HARDWOD, LAUNDRY",,,FOR-AIR,GAS,,,PUBLICWTR,PUBLICSWR,ELECT,4230.3,"CASH, CONV, FHA",,,,,FATCO-Debbie Chase,N,MAHAFFYJ,GTNR01,Georgetown Realty Inc.,503-256-1112,,"RMLSLBX, VACANT, SHWTIME, ALIGNED",John Mahaffy,503-256-1112,7/2/2025 11:57:07 AM,2024-09-26,,503-256-2342,,"TUTTLE, RUTH M",,,,,,,,,,,,,,,N,Y,Y,N,,,,,,,,,,,,,2024,,,,,,,
24197842,ACT,141,385000,7134 N RICHMOND AVE,,,Portland,R268749,97203,Multnomah,RM2,James John,George,Roosevelt,MULTI,ER,"SEVERANCE ADD, BLOCK 6, LOT 8",,,,,,", ,",,,"5K-6,999SF",,,,CORNER,,0.12,,,,N. Lombard or Willamette to Richmond,"This site is ready to go with all of the land use completed for a 5-lot townhome project with no HOA's. Could change to 7 units. Corner lot in the heart of St. John's with easy access to all the shops, restaurants and entertainment.","This site is ready to go with all of the land use completed for a 5-lot townhome project with no HOA's. Could change to 7 units. Corner lot in the heart of St. John's with easy access to all the shops, restaurants and entertainment. Incredible building opportunity in Cathedral Park!",Y,CALL-SA,,,,,,,,,,,,,1963.05,"CALL-SA, CASH, CONV",,,,,Amy Stevenson - First American,N,GRZEBYKW,RFIN01,Redfin,503-496-7620,,APTONLY,William Grzebyk,503-505-2816,5/7/2025 1:20:25 PM,2024-11-29,,503-345-9544,CLOSING,SYRACUSE HOMES LLC,,,,,,,,,,,,,,,N,,,N,,,,,,,,,,,,,2024,,,,,,,
24295172,ACT,141,288800,7471 N New York AVE,3,ST JOHNS,Portland,New Construction,97203,Multnomah,RM2,James John,George,Roosevelt,CONDO,ER,TBD,2024,NEW,TOWNHSE,2,0,", ,",,COMP,,910,910,Plans,LEVEL,,,FIBRCEM,EXEMPT,,"N Lombard St, NE on N New York Ave","Text LA/CoLA then show, no need to confirm. Gate code is 5593. Please see and use the attached Unit Sales Agreement. Please note all condo docs including CCRs are attached to the listing in the USA + Condo Docs Package. Taxes & Legal TBD. HOA is $41.67/month.. *FHA Financing through preferred lender **Sales price is subject to buyer SDC approval. Non-SDC Waiver eligible Buyer is a $30k increase from advertised listing price. SDC waiver eligibility is primarily based on buyer's income being equal to or less than the MFI of $148,920 year per family of 1-4 people. Buyer may receive thousands in savings w/ sllrs preferred lender when purchasing this listing. See attached inspection promo for special rates! Seller does not authorize 1day codes. SELLER TO PAY BUYERS FIRST YEAR OF HOA DUES!","SELLER TO PAY BUYERS FIRST YEAR OF HOA DUES! No money down  - 100% financing options available! This remarkable, light-filled residence is nestled in the heart of St. Johns, boasting a phenomenal location with a stellar 93 WalkScore and BikeScore. Enjoy the convenience of coffee shops, restaurants, grocery stores, and trendy boutiques all just steps away—less than 0.1 miles from your doorstep! Step inside to an inviting open-concept floor plan that seamlessly connects the warm, stylish kitchen with exquisite tile work and gleaming stainless steel appliances to the dining area and cozy living room—perfect for relaxation and entertaining. The living room flows effortlessly to your own private yard, featuring a charming patio. Upstairs, you’ll find the spacious primary suite, alongside an additional generous bedroom and a well-appointed bathroom. Both bedrooms are bathed in natural light, thanks to lofty ceilings and expansive windows that create a bright and airy atmosphere. Don’t miss this incredible opportunity to call this beautiful condo home. Enjoy peace of mind with a 1-year builder warranty included. Experience the vibrant St. Johns lifestyle today! (List price is subject to the buyer qualifying for the Portland Housing Bureau - System Development Charge exemption program to promote affordable housing in Portland, call for more info.)",Y,CALL-SA,https://youtu.be/CsVPDiycbVg,"BI-MICO, DISHWAS, TILE, FS-RANG, SSAPPL, SOLIDCNTR","WW-CARP, HI-CEIL","FENCED, PATIO, YARD",NATLITE,MINISPT,ELECT,HT-PUMP,,PUBLICWTR,PUBLICSWR,ELECT,0,"CASH, CONV, FHA, VA",,,42/MO,,Fidelity - Kim White,N,BODLEDAR,KWPP01,Keller Williams Realty Portland Premiere,503-597-2444,,"RMLSLBX, VACANT, SEERMKS, TEXT-SA, TXT-COSA",Darryl Bodle,503-709-4632,8/11/2025 3:11:12 PM,2024-10-01,,503-597-5010,,In List Office,,,,,,,,,,,,,,,N,Y,Y,N,N,N,Y,N,N,,,N,,N,N,N,,,,,N,N,,
24307571,ACT,141,654000,9116 N WILLAMETTE BLVD,,,Portland,R264284,97203,Multnomah,R5,Sitton,George,Roosevelt,DETACHD,ER,"ST JOHNS PK ADD, BLOCK 12, LOT 2",1906,REMOD,"FARMHSE, TRI",3,0,", ,",,COMP,"5K-6,999SF",2348,1482,county,LEVEL,,0.12,WOODCOM,DSCLOSUR,,St  Johns Bridge to St Louis to Willamette Blvd,"Use Align for showing appointments.   Read listing agent's Align confirmation notes and/or text or call for separate living quarters access code.  Please use OREF forms and allow at least 3 business days for seller response to offers, per sellers' request.  Seller will consider Seller Carry.  Call Listing Agent for details!","Fabulous 1906 home rebuilt in 2013 with stunning upgrades. Lower level recently converted and used as an Airbnb for extra income.  Roof was replaced in 2022. Radon mitigation system is already in place.  Main floor has spacious kitchen with granite countertops and stainless steel appliances, including a 6-burner gas range.  Main floor patio door leads to spacious deck for enjoying the backyard and territorial views.  Upper floor boasts 2 good sized bedrooms with primary bedroom and common bathroom having access to large back deck with hot tub.  Laundry set-up is at top of stairs for ease of access to bedrooms and bathroom.   Pull down ladder on second floor will take you to full length upper attic space with many possibilities...  Lower level has separate back entrance to a 1-bedroom unit with its own kitchen (with refrigerator, dishwasher and cooktop), living room, bathroom and laundry room.  Lower level has previously been rented out as an Airbnb.   Such a great location in a quiet neighborhood, but close to shops, parks and schools!   Buyers to do due diligence on schools and square footage.  This home has it all, including its own driveway for parking off street!  SELLER WILL ENTERTAIN CARRYING CONTRACT. Call your agent for details!",Y,CALL-SA,,"DISHWAS, GASAPPL, FS-REFR, GRANITE, WINECLR, SSAPPL, FSGASSTV, RNGHOOD","CEILFAN, HARDWOD, LAUNDRY, WASHDRY, HI-CEIL, SEPLVQT, GRANITE, ADU, 3RDFLR, CNCTFLR","COVPATI, DECK, FENCED, GASHKUP, PATIO, PORCH, PUBLCRD, FS-HTUB, YARD, RAISDBD, FIREPIT",,"RADIANT, MINISPT, DUCTLSS","ELECT, GAS",MINISPT,,PUBLICWTR,PUBLICSWR,"GAS, TNKLESS",6396.12,"CASH, CONV, FHA, VA, OWNCRRY, OWNCONT",,,,,Chicago Title - Kelsey Schaber,N,TERRLONG,ORFT11,Oregon First,503-667-5686,,"APTONLY, RMLSLBX, SEERMKS, ALIGNED",Terry Long,503-320-6543,6/12/2025 11:38:36 AM,2024-08-22,,503-667-5807,CLOSING,H20 FUTURE HOMEOWNERS LLC,,,,,,,,,,,,,,,N,Y,Y,N,N,N,N,N,N,,,Y,,N,N,N,2024,,,,Y,N,,
24416030,ACT,141,299900,7558 N BERKELEY AVE,2,,Portland,R720538,97203,Multnomah,,Astor,Astor,Roosevelt,CONDO,ER,"BERKELEY CONDOMINIUM, UNIT 2, POTENTIAL ADDITIONAL TAX",2023,NEW,NWCONT,2,0,", ,",,COMP,,796,796,plans,LEVEL,,,"CEDAR, FIBRCEM",EXEMPT,,Lombard to Berkeley,"Aligned Showings - access information will be sent with approval. Seller has own sales documents and disclosures.**Sales price is for an SDC-waiver eligible buyer. SDC waiver eligibility is primarily based on buyer's income being equal to or less than the MFI of $139,400 year per family of 1-4 people. Property taxes TBD. Please honor escrow. All sq/ft approx buyer to do DD. List price based on buyer qualifying for HOTLE/Tax Abatement; https://www.portland.gov/phb/holte. Non-qualifying - price is +25k. Call LA prior to writing; additional paperwork required","$0 DOWN LOAN OPTIONS! Welcome to Berkeley Condominiums, a newly built boutique building by K & C Custom homes. These units are filled with natural light in every room. High end finishes including European custom Cabinetry, modern tile selections, sleek Minisplit HVAC with AC built in the ceiling, along with light toned wood flooring. Open layout with Island make for easy living and entertaining, with outdoor private patio. HOLTE 10 year property tax savings for qualified buyers. HOA INCLUDES WATER, SEWER, GARBAGE, INSURANCE AND EXTERIOR MAINTENENCE! ist price based on buyer qualifying for SDC waiver program through the PHB; max income 134k; reduced property taxes for 10 years; save thousands!",Y,CALL-SA,,"DISPOSL, GASAPPL, FS-REFR, SSAPPL, QUARTZ","WW-CARP, HISPEED, WOODFLR, QUARTZ",,GRNDLVL,"MINISPT, DUCTLSS",GAS,CENTAIR,,PUBLICWTR,PUBLICSWR,TNKLESS,794.18,"CASH, CONV, FHA, VA",,,275/MO,,Tonya Pierce WFG,N,IRVINEQU,MRER01,MORE Realty,503-353-6673,,"VACANT, ALIGNED",Quinn Irvine,360-241-7846,8/14/2025 12:50:47 PM,2024-04-24,,503-444-9008,CLOSING,NORTH BERKELEY LLC,,,,,,,,,,,,,,,N,,,N,N,N,Y,N,N,,,N,,N,N,N,2023,,,,N,N,,
24466986,ACT,141,295000,7428 N St Louis AVE,,,Portland,R323732,97203,Multnomah,RM2,James John,George,Roosevelt,MULTI,ER,"SECTION 01 1N 1W, TL 12600 0.10 ACRES",,,,,,", ,",,,"3K-4,999SF",,,,,50 x 87,0.1,,DSCLOSUR,,N Lombard to N St Louis Ave,Level multifamily lot next to the North side of the Lombard commercial strip in St Johns. Two newer successful multifamily buildings next door. Tentative plans drawn for a 12 unit studio building and an 8 unit building with a mix of unit sizes including mostly larger 2 bedroom units. The project should be an easy build and the location is hard to beat.,Level multifamily lot next to the North side of the Lombard commercial strip in St Johns. Two newer successful multifamily buildings next door. Tentative plans drawn with the option of either a 12 unit studio building or an 8 unit building with a mix of unit sizes including mostly larger 2 bedroom dwellings. The project should be an easy build and the location is hard to beat.,Y,CALL-SA,,,,,,,,,,,,,977.81,"CASH, CONV",,,,,Chicago Title - Sunnyside,N,LISACMAR,LERG01,Legacy Realty Group,503-496-5190,,VACANT,Mark Lisac,503-970-7223,3/12/2025 6:13:51 PM,2024-01-26,,503-496-5191,,"AFTON PROPERTIES LLC,",,,,,,,,,,,,,,,N,Y,Y,N,,,,,,,,,,,,,2023,,,,,,,
24494938,ACT,141,289900,6675 N Fessenden ST,14,ST JOHNS,Portland,New Construction,97203,Multnomah,RM2,James John,George,Roosevelt,CONDO,ER,TBD,2024,NEW,TOWNHSE,2,0,", ,",,COMP,,896,896,Plans,LEVEL,,,FIBRCEM,EXEMPT,,On SE Fessenden St between N Macrum Ave & N Columbia Way,"Text LA/CoLA then show, no need to confirm. Gate code 1973. LB is on #15 elec panel - far left building. Please see and use the attached Unit Sales Agreement. Please note all condo docs including CCRs are attached to the listing in the USA + Condo Docs Package. Taxes & Legal TBD. HOA is $24/month + 1/19th water & sewer.   *FHA Financing through preferred lender. No money down  - 100% financing options available! **Sales price is subject to buyer SDC approval. Non-SDC Waiver eligible Buyer is a $30k increase from advertised listing price. SDC waiver eligibility is primarily based on buyer's income being equal to or less than the MFI of $148,920 year per family of 1-4 people. Buyer may receive thousands in savings w/ sllrs preferred lender when purchasing this listing. See attached inspection promo for special rates! Seller does not authorize 1day codes. Images are of a completed neighboring unit in the community - exact layout and finishes may differ.","No money down  - 100% financing options available! Welcome to your dream home in the heart of the vibrant St Johns neighborhood of Portland! Nestled in a fabulous new community with low HOA dues, this impeccably designed residence offers the epitome of modern living. This prime unit offers a coveted street-facing position, providing the ultimate convenience for effortless grocery runs and easy access to all the neighborhood has to offer. Step inside and be greeted by the inviting ambiance of the chefs kitchen, boasting warm cabinetry, sleek slab countertops, stainless steel appliances, and stylish black accents. Entertain effortlessly in the well-appointed dining space, illuminated by gorgeous lighting fixtures, or unwind in the spacious living rooms, complete with an electric fireplace for cozy evenings. Escape to your own oasis in the private fenced yard space, conveniently accessible from the living room slider. Upstairs, discover two generously sized bedrooms with lofty ceilings, offering ample space and comfort. Each bedroom is accompanied by its own full bathroom, featuring luxurious soaking tubs for ultimate relaxation. Indulge in abundant space with this unit boasting one of the largest square footages available within the community. Embrace the convenience of this prime location, just moments away from the bustling shops, restaurants, and coffee shops of St Johns. Experience the perfect blend of style, comfort, and convenience in this exceptional home. Dont miss the opportunity to make it yours + enjoy the peace of mind only new construction can offer with a 1 year builder warranty! FHA FINANCING AVAILABLE!(List price is subject to the buyer qualifying for the Portland Housing Bureau - System Development Charge exemption program to promote affordable housing in Portland, call for more info.)",Y,CALL-SA,https://youtu.be/mUI4T87syiE,"BI-MICO, DISHWAS, TILE, FS-RANG, SSAPPL, SOLIDCNTR","WW-CARP, HI-CEIL","FENCED, PATIO, YARD",NATLITE,MINISPT,ELECT,HT-PUMP,,PUBLICWTR,PUBLICSWR,ELECT,0,"CASH, CONV, FHA, VA",,,24/MO,,Fidelity - Kim White,N,BODLEDAR,KWPP01,Keller Williams Realty Portland Premiere,503-597-2444,,"RMLSLBX, VACANT, SEERMKS, TEXT-SA, TXT-COSA",Darryl Bodle,503-709-4632,8/11/2025 2:38:36 PM,2024-09-26,,503-597-5010,,In List Office,,,,,,,,,,,,,,,N,Y,Y,N,N,N,Y,N,N,,,N,,N,N,N,,,,,N,N,,
24568139,ACT,141,269900,6669 N Fessenden ST,25,ST JOHNS,Portland,New Construction,97203,Multnomah,RM2,James John,George,Roosevelt,CONDO,ER,TBD,2024,NEW,TOWNHSE,2,0,", ,",,COMP,,691,691,Plans,LEVEL,,,FIBRCEM,EXEMPT,,On SE Fessenden St between N Macrum Ave & N Columbia Way,"Text LA/CoLA then show, no need to confirm. Gate code 1973. LB is on elec by #15. Subject unit is in back building - see site map as an additional refrence. Please see and use the attached Unit Sales Agreement. Please note all condo docs including CCRs are attached to the listing in the USA + Condo Docs Package. Taxes & Legal TBD. HOA is $24/month + 1/19th water & sewer.*FHA Financing through preferred lender. No money down-100% financing avail! **Sales price is subject to buyer SDC approval. Non-SDC Waiver eligible Buyer is a $30k increase from advertised listing price. SDC waiver eligibility is primarily based on buyer's income being equal to or less than the MFI of $148,920 year per family of 1-4 people. Buyer may receive thousands in savings w/ sllrs preferred lender when purchasing this listing. See attached inspection promo for special rates! Seller does not authorize 1day codes. Images are of a completed neighboring unit in the community - exact layout and finishes may differ.","No money down  - 100% financing options available! Welcome to your dream home in the heart of the vibrant St Johns neighborhood of Portland! Discover unparalleled value with this exceptional new construction home, offering affordability that stands unmatched in all of North Portland. Nestled in a fabulous new community with low HOA dues, this impeccably designed residence offers the epitome of modern living. Step inside and be greeted by the inviting ambiance of the chefs kitchen, boasting warm cabinetry, sleek slab countertops, stainless steel appliances, and stylish black accents. Entertain effortlessly in the well-appointed dining space, illuminated by gorgeous lighting fixtures, or unwind in the spacious living rooms. Escape to your own oasis in the private fenced yard space, conveniently accessible from the living room slider. Notably, this unit is among the select few in the community offering supplementary storage, courtesy of a dedicated storage unit located off the back patio. Upstairs, discover two generously sized bedrooms with lofty ceilings, offering ample space and comfort + a full bathroom equipped with a luxurious soaking tub, providing the ultimate relaxation experience. Embrace the convenience of this prime location, just moments away from the bustling shops, restaurants, and coffee shops of St Johns. Experience the perfect blend of style, comfort, and convenience in this exceptional home. Dont miss the opportunity to make it yours + enjoy the peace of mind only new construction can offer with a 1 year builder warranty! FHA FINANCING AVAILABLE!(List price is subject to the buyer qualifying for the Portland Housing Bureau - System Development Charge exemption program to promote affordable housing in Portland, call for more info.)",Y,CALL-SA,https://youtu.be/o0Te5s5B9Go,"BI-MICO, DISHWAS, TILE, FS-RANG, SSAPPL, SOLIDCNTR","WW-CARP, HI-CEIL","FENCED, PATIO, YARD",NATLITE,MINISPT,ELECT,"HT-PUMP, MINISPT",,PUBLICWTR,PUBLICSWR,ELECT,0,"CASH, CONV, FHA, VA",,,24/MO,,Fidelity - Kim White,N,BODLEDAR,KWPP01,Keller Williams Realty Portland Premiere,503-597-2444,,"RMLSLBX, VACANT, SEERMKS, TEXT-SA, TXT-COSA",Darryl Bodle,503-709-4632,8/11/2025 2:37:40 PM,2024-08-04,,503-597-5010,,In List Office,,,,,,,,,,,,,,,N,Y,Y,N,N,N,Y,N,N,,,N,,N,N,N,,,,,N,N,,
24576417,ACT,141,288800,7467 N New York AVE,5,ST JOHNS,Portland,New Construction,97203,Multnomah,RM2,James John,George,Roosevelt,CONDO,ER,TBD,2024,NEW,TOWNHSE,2,0,", ,",,COMP,,910,910,Plans,LEVEL,,,FIBRCEM,EXEMPT,,"N Lombard St, NE on N New York Ave","Text LA/CoLA then show, no need to confirm. Gate code is 5593. Please see and use the attached Unit Sales Agreement. Please note all condo docs including CCRs are attached to the listing in the USA + Condo Docs Package. Taxes & Legal TBD. HOA is $41.67/month. *FHA Financing through preferred lender **Sales price is subject to buyer SDC approval. Non-SDC Waiver eligible Buyer is a $30k increase from advertised listing price. SDC waiver eligibility is primarily based on buyer's income being equal to or less than the MFI of $148,920 year per family of 1-4 people. Buyer may receive thousands in savings w/ sllrs preferred lender when purchasing this listing. See attached inspection promo for special rates! Seller does not authorize 1day codes. Images are of a neighboring unit in the community - exact layout and finishes may differ. SELLER TO PAY BUYERS FIRST YEAR OF HOA DUES!","SELLER TO PAY BUYERS FIRST YEAR OF HOA DUES! No money down  - 100% financing options available! This remarkable, light-filled residence is nestled in the heart of St. Johns, boasting a phenomenal location with a stellar 93 WalkScore and BikeScore. Enjoy the convenience of coffee shops, restaurants, grocery stores, and trendy boutiques all just steps away—less than 0.1 miles from your doorstep! Step inside to an inviting open-concept floor plan that seamlessly connects the warm, stylish kitchen with exquisite tile work and gleaming stainless steel appliances to the dining area and cozy living room—perfect for relaxation and entertaining. The living room flows effortlessly to your own private yard, featuring a charming patio. Upstairs, you’ll find the spacious primary suite, alongside an additional generous bedroom and a well-appointed bathroom. Both bedrooms are bathed in natural light, thanks to lofty ceilings and expansive windows that create a bright and airy atmosphere. Don’t miss this incredible opportunity to call this beautiful condo home. Enjoy peace of mind with a 1-year builder warranty included. Experience the vibrant St. Johns lifestyle today! (List price is subject to the buyer qualifying for the Portland Housing Bureau - System Development Charge exemption program to promote affordable housing in Portland, call for more info.)",Y,CALL-SA,https://youtu.be/CsVPDiycbVg,"BI-MICO, DISHWAS, TILE, FS-RANG, SSAPPL, SOLIDCNTR","WW-CARP, HI-CEIL","FENCED, PATIO, YARD",NATLITE,MINISPT,ELECT,HT-PUMP,,PUBLICWTR,PUBLICSWR,ELECT,0,"CASH, CONV, FHA, VA",,,42/MO,,Fidelity - Kim White,N,BODLEDAR,KWPP01,Keller Williams Realty Portland Premiere,503-597-2444,,"RMLSLBX, VACANT, SEERMKS, TEXT-SA, TXT-COSA",Darryl Bodle,503-709-4632,8/11/2025 3:10:29 PM,2024-10-01,,503-597-5010,,In List Office,,,,,,,,,,,,,,,N,Y,Y,N,N,N,Y,N,N,,,N,,N,N,N,,,,,N,N,,
